id,type,ts,cpu,mem
cpu,1,1705665887442000000,0.008913,6660096
cpu,1,1705665889666000000,0.009025,6656000
cpu,1,1705665892206000000,0.009090,6656000
cpu,1,1705665894524000000,0.007347,6656000
cpu,1,1705665897402000000,0.008907,6660096
cpu,1,1705665899845000000,0.008597,6660096
cpu,1,1705665902119000000,0.008765,6656000
cpu,1,1705665904579000000,0.008551,6656000
cpu,1,1705665907366000000,0.008839,6656000
cpu,1,1705665909769000000,0.009635,6656000
cpu,1,1705665912295000000,0.008284,6656000
cpu,1,1705665914705000000,0.008006,6656000
cpu,1,1705665917161000000,0.007880,6660096
cpu,1,1705665919581000000,0.007938,6660096
cpu,1,1705665921790000000,0.008570,6656000
cpu,1,1705665924253000000,0.008602,6656000
cpu,1,1705665926460000000,0.009069,6660096
cpu,1,1705665928668000000,0.009402,6660096
cpu,1,1705665930961000000,0.009954,6660096
cpu,1,1705665933219000000,0.008307,6660096
cpu,1,1705665935441000000,0.009768,6656000
cpu,1,1705665937883000000,0.009131,6656000
cpu,1,1705665940202000000,0.008880,6656000
cpu,1,1705665942498000000,0.009843,6660096
cpu,1,1705665944819000000,0.008582,6660096
cpu,1,1705665947469000000,0.008834,6660096
cpu,1,1705665949893000000,0.009514,6660096
cpu,1,1705665952451000000,0.008439,6660096
cpu,1,1705665954653000000,0.009453,6782976
cpu,1,1705665957239000000,0.007204,6656000
cpu,1,1705665959658000000,0.006310,6787072
cpu,1,1705665962059000000,0.007380,6660096
cpu,1,1705665964316000000,0.007087,6660096
cpu,1,1705665966715000000,0.007954,6656000
cpu,1,1705665969228000000,0.007448,6656000
cpu,1,1705665971430000000,0.008799,6660096
cpu,1,1705665974006000000,0.007360,6660096
cpu,1,1705665976454000000,0.008941,6656000
cpu,1,1705665979248000000,0.009234,6656000
cpu,1,1705665981511000000,0.008416,6656000
cpu,1,1705665983969000000,0.008417,6656000
cpu,1,1705665986171000000,0.007911,6656000
cpu,1,1705665988408000000,0.009039,6656000
cpu,1,1705665990573000000,0.008400,6656000
cpu,1,1705665992867000000,0.009028,6660096
cpu,1,1705665995103000000,0.010402,6660096
cpu,1,1705665997417000000,0.008679,6656000
cpu,1,1705665999806000000,0.010601,6787072
cpu,1,1705666002453000000,0.008737,6660096
cpu,1,1705666004636000000,0.009412,6656000
cpu,1,1705666007083000000,0.009118,6660096
cpu,1,1705666009716000000,0.008784,6660096
cpu,1,1705666011916000000,0.010754,6660096
cpu,1,1705666014195000000,0.008750,6660096
cpu,1,1705666016736000000,0.010137,6660096
cpu,1,1705666019424000000,0.010348,6782976
cpu,1,1705666021768000000,0.009766,6660096
cpu,1,1705666023970000000,0.009043,6660096
cpu,1,1705666026176000000,0.010113,6660096
cpu,1,1705666028586000000,0.008893,6660096
cpu,1,1705666031096000000,0.008853,6656000
cpu,1,1705666033772000000,0.009049,6656000
cpu,1,1705666036029000000,0.009431,6660096
cpu,1,1705666038432000000,0.008955,6660096
cpu,1,1705666040704000000,0.008891,6660096
cpu,1,1705666042895000000,0.009544,6656000
cpu,1,1705666045247000000,0.010375,6660096
cpu,1,1705666047745000000,0.008834,6660096
cpu,1,1705666050487000000,0.008770,6660096
cpu,1,1705666052932000000,0.009793,6656000
cpu,1,1705666055422000000,0.009195,6656000
cpu,1,1705666057627000000,0.008799,6660096
cpu,1,1705666060271000000,0.008778,6660096
cpu,1,1705666062546000000,0.009177,6656000
cpu,1,1705666064963000000,0.008632,6656000
cpu,1,1705666067381000000,0.008470,6660096
cpu,1,1705666069948000000,0.008562,6660096
cpu,1,1705666072150000000,0.007248,6660096
cpu,1,1705666074782000000,0.009068,6660096
cpu,1,1705666077281000000,0.008912,6660096
cpu,1,1705666079975000000,0.008471,6660096
cpu,1,1705666082351000000,0.008959,6660096
cpu,1,1705666084735000000,0.009117,6660096
cpu,1,1705666087352000000,0.008899,6656000
cpu,1,1705666089980000000,0.008981,6656000
cpu,1,1705666092613000000,0.008729,6660096
cpu,1,1705666095113000000,0.010311,6660096
cpu,1,1705666097478000000,0.010102,6660096
cpu,1,1705666100133000000,0.008942,6660096
cpu,1,1705666102458000000,0.010673,6660096
cpu,1,1705666104669000000,0.008851,6660096
cpu,1,1705666106869000000,0.010363,6782976
cpu,1,1705666109318000000,0.008632,6656000
cpu,1,1705666111574000000,0.009126,6660096
cpu,1,1705666113792000000,0.008753,6660096
cpu,1,1705666116135000000,0.008812,6660096
cpu,1,1705666118702000000,0.009095,6660096
cpu,1,1705666121147000000,0.009494,6660096
cpu,1,1705666123583000000,0.008625,6660096
cpu,1,1705666126277000000,0.009218,6787072
cpu,1,1705666128665000000,0.008046,6660096
cpu,1,1705666130874000000,0.006185,6656000
cpu,1,1705666133087000000,0.007600,6656000
